Date,Forecast,Lower_95,Upper_95
2024-01-01,3668.9114836430795,3469.7867375456062,3879.4603440715937
2024-02-01,3607.0546759977533,3274.3207086072157,3973.5904914835037
2024-03-01,3668.828486156961,3244.355921598076,4148.8194475930895
2024-04-01,3527.943273482112,3052.6706700603804,4077.1871960044737
2024-05-01,3439.9092728870596,2920.9153552244793,4051.087478533595
2024-06-01,3579.2590920398625,2988.3337997614963,4286.997267871792
2024-07-01,3647.2016971204935,2998.4024730864885,4436.342351450768
2024-08-01,3741.122721410344,3031.920536504507,4616.161014787026
2024-09-01,3846.242177337733,3075.6385876661966,4809.85832779403
2024-10-01,4085.169062442741,3225.6837920795215,5173.593695189298
2024-11-01,4276.9696229180245,3336.8803192544724,5481.828125694149
2024-12-01,4595.135175064818,3544.3008708096263,5957.438879305608
