Model,MAE,RMSE,R²,MAPE
Gradient Boosting,0.014204148374239363,0.025719634671689237,0.8648137475841609,0.17141132222372937
XGBoost,0.018427411063942935,0.028236290494680454,0.8370635610199388,0.22295563797924542
Random Forest,0.02544396336307685,0.037991597499181344,0.7050298636908332,0.3078236489480538
Ridge,0.03180955768142191,0.03844540950908989,0.6979409025394294,0.3855041933900446
Linear Regression,0.03318193970422569,0.04087781739436063,0.6585097279910397,0.40199603794555266
ElasticNet,0.07947432409355937,0.07996848889883618,-0.3068950621813489,0.9677684271518139
SVR,0.06615289686319091,0.08479064852026279,-0.4692606651361366,0.8009726039819436
Lasso,0.16976298599132694,0.17348636341530274,-5.150828598781291,2.065425363291198
