date,retail_sales,gold_price,gold_price_mom,gold_price_yoy,gold_volatility_1m,gold_volatility_3m,gold_price_30d_avg,gold_price_90d_avg,gold_price_180d_avg,gold_trend,oil_price,oil_price_mom,oil_price_yoy,oil_volatility_1m,oil_volatility_3m,oil_price_30d_avg,oil_price_90d_avg,oil_price_180d_avg,oil_momentum,gdp_growth,inflation,interest_rate,unemployment
2002-10-01,,15383.355,0.7920094200437766,13.561583316899949,1173.5339727024384,1046.1357271528757,13383.146,12662.43213222222,11074.762193555554,2308.3838064444435,26.9021010869565,-2.1572523409525424,34.17506776536907,3.461422385132109,,25.014930860363584,,,,,,,
2002-10-31,,15309.59,-0.9544468827310636,12.644976348336144,1190.6517489416167,1062.6663915481029,13434.839,12672.013513333332,11100.747039888887,2334.091960111111,25.2923064958592,-7.062525293797202,32.006700288281856,3.4588781366708794,,24.966306058776283,,,,,,,
2002-11-01,,15352.815,-0.19488407107540173,14.402999414128692,1202.9470696403494,1080.3704248511037,13489.696,12682.959999999997,11126.997844638889,2362.6981553611095,23.6825119047619,-11.96779824664186,29.838332811194636,3.4563338882096497,,24.91768125718898,,,,,,,
2002-11-29,,15396.04,0.56467874058026,16.16102247992124,1215.242390339082,1098.0744581541046,13544.552999999998,12693.906486666663,11153.24864938889,2391.304350611108,25.396306547618998,1.2526417037207516,39.234136774227,3.436217980372994,,24.894682943696917,,,,,,,
2002-12-01,,15687.130000000001,2.173020350594146,18.57295489962356,1249.5865066394156,1122.5707663161836,13598.037166666665,12706.773451111108,11180.252739916668,2417.7844267499986,27.1101011904761,14.473081654083364,48.62994073725935,3.4161020725363382,,24.871684630204854,,,,,,,
2002-12-31,,15978.22,3.781361960608032,20.984887319325885,1283.9306229397491,1147.0670744782626,13651.521333333334,12719.640415555554,11207.256830444445,2444.264502888889,28.351325595238002,11.81499811881287,52.519383687868306,3.457001479203017,,24.910560463538182,,,,,,,
2003-01-01,,16539.515,5.403556632285278,23.34010153762961,1348.7338848253557,1190.7398888283537,13726.381500000001,12739.922396111111,11237.333961722223,2489.0475382777777,29.5925499999999,9.156914583542374,56.40882663847726,3.4979008858696954,,24.949436296871514,,,,,,,
2003-01-31,,17100.81,7.025751303962524,25.695315755933336,1413.5371467109626,1234.4127031784446,13801.241666666669,12760.204376666668,11267.411093,2533.830573666666,30.450465277777703,7.477549386834991,58.359051437214625,3.5673047341659556,,24.999095158403502,,,,,,,
2003-02-01,,17120.025,3.6252387505713246,22.41450360064117,1465.6174613875728,1274.864355542798,13877.849333333335,12779.963435555557,11298.089313777778,2579.760019555555,31.3083805555555,5.798184190127609,60.30927623595199,3.636708582462216,,25.04875401993549,,,,,,,
2003-02-28,,17139.24,0.2247261971801251,19.133691445349,1517.697776064183,1315.3160079071513,13954.457,12799.722494444444,11328.767534555556,2625.689465444444,30.06670992063485,-1.0668448613921635,41.98440921560405,3.57514787879452,,25.006838008030726,,,,,,,
