,retail_sales,oil_price_oil,oil_price_mom_oil,oil_price_yoy_oil,oil_volatility_1m_oil,oil_volatility_3m_oil,oil_price_30d_avg_oil,oil_price_90d_avg_oil,oil_price_180d_avg_oil,oil_momentum_oil,iip_durable_iip,iip_nondurable_iip,iip_combined_iip,iip_durable_yoy_iip,iip_nondurable_yoy_iip,iip_combined_yoy_iip,iip_durable_mom_iip,iip_nondurable_mom_iip,iip_combined_mom_iip,iip_durable_3m_avg_iip,iip_durable_6m_avg_iip,iip_nondurable_3m_avg_iip,iip_nondurable_6m_avg_iip,iip_combined_3m_avg_iip,iip_combined_6m_avg_iip,cpi_index_cpi,inflation_mom_cpi,inflation_yoy_cpi,cpi_3m_avg_cpi,cpi_6m_avg_cpi,lending_rate_lending,interest_rate_lending,rate_spread_lending,lending_rate_mom_lending,lending_rate_3m_avg_lending,lending_rate_6m_avg_lending,wpi_index_wpi,wpi_inflation_wpi,wpi_mom_wpi,wpi_3m_avg_wpi,wpi_6m_avg_wpi,interest_rate_repo,usd_inr_usd_inr,log_retail_sales
2015-01-01,2100.5,46.5866174285714,-23.891877830125484,-54.169622147383954,14.848010792462558,21.5273118229983,101.34202996081012,92.6003348124637,66.58685987031706,0.094402414052285,-0.3,3.5,1.6,-104.22535211267603,-16.666666666666675,-71.68141592920354,-104.61538461538464,-22.22222222222222,-70.9090909090909,5.233333333333333,3.1666666666666665,5.4,2.333333333333333,5.316666666666667,2.75,119.5,0.0837520938023361,5.193661971830998,119.66666666666669,119.91666666666669,14.0,6.58,7.6867,-0.3558718861210064,14.166666666666666,14.4,110.8,-2.464788732394363,-1.1596788581623496,112.33333333333331,114.36666666666667,6.689130434782608,62.14,7.649930690609437
2015-02-01,2050.3,56.4303821666666,20.049971569040075,-46.8581696727932,16.854802970701414,21.72182245453078,99.55409993303236,92.46086865219432,66.30331340236009,0.0767160354887028,2.3,9.6,5.949999999999999,-68.49315068493152,585.7142857142858,36.7816091954023,-866.6666666666666,174.28571428571428,271.87499999999994,2.8333333333333326,2.4000000000000004,5.866666666666667,3.6666666666666665,4.3500000000000005,3.0333333333333328,119.7,0.1673640167364043,5.369718309859173,119.53333333333336,119.81666666666666,14.0,6.58,7.6867,-0.3558718861210064,14.166666666666666,14.4,109.6,-3.521126760563376,-1.0830324909747335,110.83333333333331,113.1,6.689130434782608,62.14,7.625741402889001
2015-03-01,2200.8,55.1767760909091,-2.221509101347185,-47.59805760180886,18.52470968264791,21.99761115158176,97.66762981939596,92.24309278375998,65.85509668479875,0.0588069726624671,4.6,7.6,6.1,-41.77215189873419,660.0,37.07865168539324,100.0,-20.833333333333336,2.521008403361358,2.1999999999999997,1.7500000000000002,6.9,4.616666666666666,4.55,3.183333333333332,120.2,0.417710944026739,5.25394045534151,119.8,119.83333333333331,14.0,6.58,7.6867,-0.3558718861210064,14.166666666666666,14.4,109.9,-3.849518810148722,0.2737226277372384,110.1,112.01666666666668,6.689130434782608,62.14,7.696576209610365
2015-04-01,2150.2,59.0703075999999,7.056467928963128,-44.03854130759267,19.65992963149739,22.23361634166113,95.97702060303232,92.01801659767304,66.05820950479877,0.0430242266867051,1.8,5.7,3.75,-18.181818181818187,185.0,78.57142857142856,-60.86956521739131,-24.99999999999999,-38.52459016393443,2.899999999999999,4.066666666666667,7.633333333333333,6.516666666666667,5.266666666666667,5.291666666666665,120.7,0.4159733777038266,4.865334491746309,120.2,119.93333333333334,14.0,6.58,7.6867,-0.3558718861210064,14.166666666666666,14.4,110.2,-3.4180543382997253,0.2729754322110977,109.9,111.11666666666667,6.689130434782608,62.14,7.673316140051128
2015-05-01,2050.6,63.821381,8.04308220666876,-40.271919600684654,20.37300306753492,22.42970822785082,94.50870839827044,91.73706512465716,66.26499495479877,0.0302129054362816,-1.1,4.2,1.55,-109.82142857142858,133.33333333333334,-76.15384615384615,-161.11111111111111,-26.315789473684216,-58.66666666666666,1.766666666666666,2.3000000000000003,5.833333333333333,5.8500000000000005,3.8000000000000007,4.074999999999999,121.6,0.7456503728251684,5.008635578583753,120.83333333333331,120.18333333333334,14.0,6.58,7.6867,-0.3558718861210064,14.166666666666666,14.4,111.4,-2.9616724738675937,1.0889292196007316,110.5,110.66666666666669,6.689130434782608,63.63,7.625887712235991
2015-06-01,2080.9,61.7454641904761,-3.2526980409964823,-43.38079253362535,21.072863645344142,22.648385601938056,92.9908583098828,91.44622289344022,66.44974753363475,0.0168911888054961,7.7,-0.1,3.8,120.0,-102.56410256410255,2.7027027027026973,-800.0,-102.38095238095238,145.16129032258064,2.7999999999999994,2.5000000000000004,3.266666666666667,5.083333333333333,3.0333333333333337,3.791666666666666,123.0,1.1513157894736947,5.398457583547556,121.76666666666668,120.78333333333336,14.0,6.58,7.6867,-0.3558718861210064,14.166666666666666,14.4,111.8,-2.951388888888895,0.3590664272890453,111.13333333333333,110.61666666666666,6.689130434782608,63.59,7.640555771418734
2015-07-01,2120.4,56.3000302272727,-8.81916434607245,-47.03474495260927,21.857965943040178,22.948836355319997,91.21581809018586,91.07713929495536,66.61108103489737,0.0015226520760758,3.8,-6.6,-1.4,-51.28205128205128,-195.65217391304347,-119.04761904761904,-50.64935064935065,5987.000000000006,-136.84210526315786,3.4666666666666663,3.1833333333333336,-0.833333333333333,3.4,1.3166666666666675,3.2916666666666656,123.6,0.4878048780487809,3.691275167785224,122.73333333333332,121.46666666666668,14.0,6.58,7.6867,-0.3558718861210064,14.166666666666666,14.4,111.1,-4.798628963153395,-0.6261180679785316,111.43333333333334,110.66666666666669,6.689130434782608,63.55,7.659360029113651
2015-08-01,2180.7,47.3274333333333,-15.93710848416724,-53.551369233384015,22.877991829977244,23.406898170682613,89.03754673833403,90.57661925012108,66.71662872639568,-0.016991940354243,1.8,1.5,1.65,-73.91304347826086,-6.25,-61.1764705882353,-52.63157894736842,-122.72727272727272,-217.8571428571429,4.433333333333333,3.1,-1.7333333333333332,2.0500000000000003,1.3500000000000008,2.5749999999999997,124.8,0.9708737864077666,3.740648379052369,123.8,122.31666666666666,14.0,6.58,7.6867,-0.3558718861210064,14.166666666666666,14.4,110.0,-5.246400144877611,-0.99009900990098,110.96666666666664,110.73333333333332,6.689130434782608,64.945,7.687401205158699
2015-09-01,2250.2,46.1048685999999,-2.583205230511288,-52.44915492054216,23.9232410747658,23.849479929945915,87.02605335833404,89.98045312900996,66.79865577417347,-0.0328337952070549,-2.8,1.6,-0.5999999999999999,-132.94117647058823,-15.78947368421052,-111.53846153846156,-255.55555555555557,6.666666666666665,-136.36363636363637,0.9333333333333328,1.8666666666666671,-1.1666666666666663,1.05,-0.1166666666666658,1.4583333333333328,125.4,0.480769230769229,4.412989175686932,124.59999999999998,123.18333333333332,14.0,6.58,7.6867,-0.3558718861210064,14.166666666666666,14.4,109.9,-5.246400144877611,-0.0909090909090859,110.33333333333331,110.73333333333332,6.689130434782608,66.34,7.7187743801369715
2015-10-01,2400.5,46.6752607272727,1.2371624615644228,-46.24377491129371,24.853624888532096,24.220860992569943,85.19606858098918,89.32439876840388,66.88851833376943,-0.0462172737162043,17.7,15.3,16.5,-246.2809917355372,-368.42105263157896,-285.39325842696627,-732.1428571428571,856.25,-1721.0625000000005,5.5666666666666655,4.516666666666667,6.133333333333334,2.6500000000000004,5.8500000000000005,3.5833333333333326,126.1,0.5582137161084466,4.995836802664444,125.43333333333334,124.08333333333331,14.0,6.58,7.6867,-0.3558718861210064,14.166666666666666,14.4,110.1,-4.757785467128029,0.1819836214740577,110.0,110.71666666666664,6.689130434782608,65.57,7.783432327970995
