date,gold_price,gold_price_mom,gold_price_yoy,gold_volatility_1m,gold_volatility_3m,gold_price_30d_avg,gold_price_90d_avg,gold_price_180d_avg,gold_trend
1984-05-31,4005.56542,3.863365225525306,-2.687362129218107,231.11133990802085,736.0129362365814,4134.538404666667,3891.207716555556,5690.581896166667,4485.569818166668
1984-06-29,3917.69709,-2.1936560956230755,-5.362516208224132,234.025010577091,736.0129362365814,4130.125722000001,3891.207716555556,5690.581896166667,4485.569818166668
1984-07-31,3910.00451,-0.1963546395568838,-6.322670059957525,235.1876894880561,736.0129362365814,4117.245060333334,3891.207716555556,5690.581896166667,4485.569818166668
1984-08-31,3800.47572,-2.801244594983854,-3.4116474479481296,211.2768404793851,736.0129362365814,4086.114924333334,3891.207716555556,5690.581896166667,4485.569818166668
1984-09-28,3918.404630000001,3.1030039049953384,-2.1247394093624083,151.00812596092192,736.0129362365814,4054.056699666667,3891.207716555556,5690.581896166667,4485.569818166668
1984-10-31,3894.01037,-0.6225559201628483,-3.0514502168543345,151.69609099272276,736.0129362365814,4044.403866666667,3891.207716555556,5690.581896166667,4485.569818166668
1984-11-30,3902.611190000001,0.2208730635712141,-4.124938147913926,145.26405540145964,736.0129362365814,4030.858731,3891.207716555556,5690.581896166667,4485.569818166668
1984-12-31,3903.34226,0.0187328423050026,-4.917671160455117,132.54389534160458,736.0129362365814,4015.470860333334,3891.207716555556,5690.581896166667,4485.569818166668
1985-01-31,3871.61325,-0.8128677396585737,-0.950049154866528,132.42201516183871,736.0129362365814,4006.082462,3891.207716555556,5690.581896166667,4485.569818166668
1985-02-28,4214.447590000001,8.855077143875366,10.520219728310408,129.97081807026927,736.0129362365814,4004.727160333334,3891.207716555556,5690.581896166667,4485.569818166668
1985-03-29,4175.84986,-0.9158431603606744,7.915422939340466,127.04387239993096,736.0129362365814,4002.903598333333,3891.207716555556,5690.581896166667,4485.569818166668
1985-04-30,4210.43364,0.8281854271456002,9.175549780225031,127.3670863804504,736.0129362365814,4003.097929000001,3891.207716555556,5690.581896166667,4485.569818166668
1985-05-31,4199.57714,-0.2578475503535071,4.843553897067543,132.30686869324538,736.0129362365814,4009.021789333333,3891.207716555556,5690.581896166667,4485.569818166668
1985-06-28,4253.47702,1.2834596961350142,8.570849718246087,139.06633893706163,736.0129362365814,4019.139861000001,3891.207716555556,5690.581896166667,4485.569818166668
1985-07-31,4294.21367,0.9577258748185268,9.826309893437934,147.71517083016,736.0129362365814,4026.8330203333335,3891.207716555556,5690.581896166667,4485.569818166668
1985-08-30,4345.879690000001,1.2031543833262548,14.350939466072957,158.24285472488558,704.6825171423181,4039.466007,3918.9080797777774,5690.581896166667,4485.569818166668
1985-09-30,4702.2634100000005,8.200496687012503,20.0045389391039,198.82424786483597,679.4407203890904,4058.548536666667,3948.8182187777775,5690.581896166667,4485.569818166668
1985-10-31,5263.401620000001,11.933364022242207,35.16660511615433,295.5755115582696,660.2488594147273,4093.0567773333337,3985.356874888889,5690.581896166667,4485.569818166668
1985-11-29,5431.14194,3.18691850081545,39.166872526699215,383.5353429255727,641.7660482517779,4136.888770666667,4023.914682666667,5690.581896166667,4485.569818166668
1985-12-31,5188.308440000001,-4.471131535185025,32.91963897626544,428.9000947117112,620.6196903821055,4171.842766666667,4058.013185555556,5690.581896166667,4485.569818166668
1986-01-31,5107.2489000000005,-1.5623500595118855,31.915265554998307,461.65542612530953,599.7864463479011,4202.954167666667,4089.772775333333,5690.581896166667,4485.569818166668
1986-02-28,5287.367660000001,3.5267276674140646,25.458142427629515,499.0908009546383,582.3650923535913,4248.0426130000005,4122.857923333333,5690.581896166667,4485.569818166668
1986-03-31,5213.575000000001,-1.3956407941565383,24.85063339896996,526.7755270682094,564.4140924100047,4288.379516666667,4154.010626222223,5690.581896166667,4485.569818166668
1986-04-30,5249.4854000000005,0.688786485281212,24.6780224756137,552.313584270504,559.1681927631037,4329.476559000001,4180.504592333334,5690.581896166667,4485.569818166668
1986-05-30,5576.84677,6.236065919909017,32.79543592334156,594.7963130007431,568.470622213328,4379.687534000001,4206.8698875555565,5690.581896166667,4485.569818166668
