date,retail_sales,gdp_growth,inflation,interest_rate_x,unemployment,gold_price,gold_price_mom,gold_price_yoy,gold_volatility_1m,gold_volatility_3m,gold_price_30d_avg,gold_price_90d_avg,gold_price_180d_avg,gold_trend,oil_price,oil_price_mom,oil_price_yoy,oil_volatility_1m,oil_volatility_3m,oil_price_30d_avg,oil_price_90d_avg,oil_price_180d_avg,oil_momentum,iip_durable,iip_nondurable,iip_combined,iip_durable_yoy,iip_nondurable_yoy,iip_combined_yoy,iip_durable_mom,iip_nondurable_mom,iip_combined_mom,iip_durable_3m_avg,iip_durable_6m_avg,iip_nondurable_3m_avg,iip_nondurable_6m_avg,iip_combined_3m_avg,iip_combined_6m_avg,cpi_index,inflation_mom,inflation_yoy,cpi_3m_avg,cpi_6m_avg,lending_rate,interest_rate_y,rate_spread,lending_rate_mom,lending_rate_3m_avg,lending_rate_6m_avg,wpi_index,wpi_inflation,wpi_mom,wpi_3m_avg,wpi_6m_avg
2007-06-29,,,,,,26731.33,-1.869957915943488,-2.6344928467412654,4310.81585810296,5406.953860771733,24434.303333333333,18255.800444444445,15273.319343333333,9160.98399,70.33715626623375,5.115754334290501,1.8024705479942726,7.596435443058372,,58.82680767076663,,,,,,,,,,,,,,,,,,,,,,,,12.69047619047619,7.72,4.12,2.642961946683438,12.246031746031745,11.50595238095238,,,,,
2007-07-01,,,,,,26809.635000000002,-0.6420455349060108,-5.665357455097481,4248.319933666427,5426.501692012031,24573.1015,18336.348055555558,15315.552580194444,9257.548919805555,72.5750618181818,6.572482159421411,1.8085883390658972,7.448751870960167,,59.35369199273632,,,,,,,,,,,,,,,,,,,,,,,,12.678571428571429,7.75,4.125,2.3552278054078797,12.261904761904761,11.523809523809524,,,,,
2007-07-31,,,,,,26887.94,0.5858668461314664,-8.696222063453696,4185.824009229893,5446.049523252328,24711.899666666668,18416.895666666667,15357.785817055556,9354.11384961111,70.7786992045454,0.8110621840499315,-0.3627929846834188,7.198841290182883,,59.792220959066285,,,,,,,,,,,,,,,,,,,,,,,,12.666666666666666,7.78,4.13,2.0674936641323214,12.277777777777777,11.541666666666666,,,,,
2007-08-01,,,,,,27028.095,0.8141894211079803,-8.194624239915077,4112.291033586407,5469.632888030006,24856.39416666667,18495.152166666667,15399.076258694444,9457.317907972223,68.982336590909,-4.950357791321547,-2.534174308432735,6.948930709405599,,60.23074992539625,,,,,,,,,,,,,,,,,,,,,,,,12.654761904761905,7.81,4.135,1.779759522856763,12.293650793650793,11.559523809523808,,,,,
2007-08-31,,,,,,27168.25,1.0425119960844942,-7.693026416376458,4038.758057942922,5493.216252807685,25000.88866666667,18573.408666666663,15440.366700333334,9560.521966333336,71.87947042045451,1.7246409027415197,10.092149021182378,7.034419339926714,,60.6558596553205,,,,,,,,,,,,,,,,,,,,,,,,12.642857142857142,7.84,4.14,1.4920253815812048,12.309523809523808,11.577380952380953,,,,,
2007-09-01,,,,,,27941.535,3.3675379632037816,-1.791114241797576,3983.2320690165457,5525.173800505407,25163.187333333335,18663.571444444442,15487.060884055556,9676.126449277777,74.77660425,8.399639596804587,22.71847235079749,7.11990797044783,16.740411391222697,61.08096938524474,39.46710058583754,,0.5476426815899207,,,,,,,,,,,,,,,,,,,,,12.630952380952381,7.87,4.145,1.2042912403056465,12.325396825396824,11.595238095238095,,,,,
2007-09-28,,,,,,28714.82,5.692563930323069,4.110797932781307,3927.7060800901695,5557.131348203127,25325.486,18753.73422222222,15533.755067777778,9791.73093222222,77.051884298913,7.242589755307627,30.615579693568815,7.31704246224586,16.95011672565974,61.57929541802597,39.78275149888102,,0.5478873598484589,,,,,,,,,,,,,,,,,,,,,12.619047619047619,7.9,4.15,0.9165570990300882,12.341269841269842,11.613095238095237,,,,,
2007-10-01,,,,,,29265.68,4.7646641803382295,8.046546005463572,3867.9387959272935,5595.332356037154,25509.52766666667,18851.55938888889,15585.545792611112,9923.981874055555,79.327164347826,6.085539913810667,38.51268703634014,7.514176954043891,17.159822060096786,62.0776214508072,40.098402411924496,,0.5481320381069972,,,,,,,,,,,,,,,,,,,,,12.607142857142858,7.93,4.155,0.6288229577545303,12.357142857142858,11.63095238095238,,,,,
2007-10-31,,,,,,29816.54,3.83676443035339,11.982294078145838,3808.1715117644176,5633.533363871181,25693.569333333333,18949.384555555556,15637.336517444444,10056.232815888889,84.21708895962725,9.207019810033056,46.34702116536651,7.993037553771041,17.50895709773158,62.77948461559417,40.44566359843243,,0.552158643142771,,,,,,,,,,,,,,,,,,,,,12.595238095238095,7.96,4.16,0.34108881647897205,12.373015873015873,11.648809523809524,,,,,
2007-11-01,,,,,,30817.225,5.274522800234516,12.511365446689693,3756.3465756813794,5690.024019224687,25918.15783333333,19058.902833333334,15693.953530750001,10224.204302583334,89.1070135714285,12.328499706255446,54.181355294392894,8.47189815349819,17.858092135366373,63.481347780381135,40.79292478494037,,0.5561852481785448,,,,,,,,,,,,,,,,,,,,,12.583333333333334,7.99,4.165,0.05335467520341375,12.38888888888889,11.666666666666666,,,,,
2007-11-30,,,,,,31817.91,6.7122811701156415,13.040436815233548,3704.5216395983416,5746.514674578193,26142.746333333333,19168.421111111114,15750.570544055558,10392.175789277777,88.51413928571425,5.498898987969397,49.93991421980763,8.89837697220602,18.17195903483912,64.06802310613871,41.123098479384815,,0.5579429838000167,,,,,,,,,,,,,,,,,,,,,12.571428571428571,8.02,4.17,-0.234379466072145,12.404761904761905,11.684523809523808,,,,,
2007-12-01,,,,,,31755.075,3.1586574694163483,12.88125638754093,3635.133994656309,5800.710346930633,26358.25833333333,19273.54927777778,15806.036257777778,10552.222075555555,87.921265,-1.3307017303166524,45.69847314522237,9.324855790913848,18.485825934311865,64.65469843189628,41.45327217382926,,0.5597007194214887,,,,,,,,,,,,,,,,,,,,,12.55952380952381,8.05,4.175,-0.5221136073477028,12.420634920634921,11.702380952380953,,,,,
2007-12-31,,,,,,31692.24,-0.3949662312829449,12.722075959848311,3565.746349714276,5854.906019283072,26573.77033333333,19378.677444444445,15861.5019715,10712.268361833334,88.71940954545455,0.24244379117941994,58.05626681738684,9.75386996562321,18.794554423080278,65.22985627785587,41.79914747433431,,0.5605476970378599,,,,,,,,,,,,,,,,,,,,,12.547619047619047,8.08,4.18,-0.8098477486232607,12.436507936507937,11.720238095238095,,,,,
2008-01-01,,,,,,33355.785,5.051577853226619,18.97733719643658,3557.248952632517,5946.185402651014,26849.624666666663,19503.17816666667,15925.338658333334,10924.286008333333,89.5175540909091,1.815589312675492,70.41406048955132,10.182884140332572,19.103282911848687,65.80501412381547,42.14502277483936,,0.5613946746542311,,,,,,,,,,,,,,,,,,,,,12.535714285714286,8.11,4.185,-1.0975818898988194,12.452380952380953,11.738095238095237,,,,,
2008-01-31,,,,,,35019.33,10.498121937736183,25.23259843302485,3548.7515555507584,6037.464786018955,27125.479,19627.67888888889,15989.175345166666,11136.303654833331,90.94589572966505,2.5033941488187494,66.90925052243219,10.697008045499562,19.433778878462626,66.34377914056188,42.50083048875483,,0.5610028741382249,,,,,,,,,,,,,,,,,,,,,12.523809523809524,8.14,4.19,-1.3853160311743773,12.468253968253968,11.75595238095238,,,,,
2008-02-01,,,,,,35432.100000000006,9.052283335756773,25.156167359185318,3568.485796256297,6090.905402966074,27271.88875,19694.700083333337,16023.251598013889,11248.63715198611,92.374237368421,3.191198984962007,63.404440555313045,11.211131950666552,19.76427484507656,66.88254415730829,42.8566382026703,,0.5606110736222187,,,,,,,,,,,,,,,,,,,,,12.511904761904763,8.17,4.195,-1.673050172449936,12.484126984126984,11.773809523809524,,,,,
2008-02-16,,,,,,35844.87,7.606444733777362,25.079736285345785,3588.220036961835,6144.346019913191,27418.298499999997,19761.72127777778,16057.327850861111,11360.97064913889,94.22063290131572,4.392220106417172,63.93912942273881,11.564314399271888,19.976685432617266,67.21604920617193,43.04669325683697,,0.5614571461746818,,,,,,,,,,,,,,,,,,,,,12.5,8.2,4.2,-1.9607843137254943,12.5,11.791666666666666,,,,,
2008-02-27,,,,,,36257.64,6.160606131797953,25.00330521150625,3607.9542776673734,6197.78663686031,27564.70825,19828.74247222222,16091.404103708333,11473.304146291668,96.06702843421046,5.593241227872337,64.47381829016457,11.917496847877224,20.189096020157976,67.54955425503556,43.23674831100364,,0.5623032187271447,,,,,,,,,,,,,,,,,,,,,12.25,8.23,4.205,-2.0000000000000018,12.5,12.041666666666666,,,,,
2008-02-29,,,,,,36670.41,4.714767529818542,24.92687413766672,3627.688518372912,6251.2272538074285,27711.118,19895.763666666666,16125.480356555556,11585.637643444446,97.91342396710519,6.794262349327501,65.00850715759034,12.270679296482559,20.401506607698686,67.8830593038992,43.4268033651703,,0.5631492912796077,,,,,,,,,,,,,,,,,,,,,12.305555555555555,8.26,4.21,-1.324263038548754,12.5,12.074074074074074,,,,,
2008-03-01,,,,,,37871.545,5.632872094600694,30.328725981097044,3760.5392453461823,6385.86362160461,28028.541666666664,20043.075444444443,16200.738026388888,11827.80364027778,99.7598194999999,7.995283470782666,65.5431960250161,12.623861745087895,20.61391719523939,68.21656435276284,43.61685841933697,,0.5639953638320707,,,,,,,,,,,,,,,,,,,,,12.36111111111111,8.29,4.215,-0.6485260770975061,12.5,12.106481481481481,,,,,
2008-03-31,,,,,,39072.68,6.550976659382846,35.73057782452737,3893.3899723194527,6520.499989401791,28345.965333333334,20190.38722222222,16275.99569622222,12069.969637111111,102.73998634090896,6.9849835889008505,63.49624897640096,13.385454337872146,21.096178742458427,69.04058254071379,44.03474815923596,,0.5678295698592286,,,,,,,,,,,,,,,,,,,,,12.416666666666666,8.32,4.22,0.027210884353741527,12.5,12.13888888888889,,,,,
2008-04-01,,,,,,37746.61,-0.11836640461397874,31.507387274019436,3903.1491592884468,6604.732944666021,28601.7925,20323.231055555552,16343.68688311111,12258.10561688889,105.720153181818,5.974683707019035,61.44930192778582,14.147046930656396,21.578440289677463,69.86460072866471,44.45263789913494,,0.5716637758863865,,,,,,,,,,,,,,,,,,,,,12.472222222222221,8.35,4.225,0.7029478458049896,12.5,12.171296296296296,,,,,
2008-04-30,,,,,,36420.54,-6.787709468610803,27.2841967235115,3912.908346257441,6688.96589993025,28857.619666666666,20456.07488888889,16411.37807,12446.241596666669,113.314557314593,10.170838948632056,72.74699414981043,15.366073335000355,22.28099055207712,70.99401996112084,44.952539787226385,,0.5792264398660485,,,,,,,,,,,,,,,,,,,,,12.527777777777779,8.379999999999999,4.23,1.3786848072562377,12.5,12.203703703703704,,,,,
2008-05-01,,,,,,36943.990000000005,-1.9566162968742145,32.413114693188994,3947.751122702249,6779.371091511186,29118.942333333332,20595.10966666667,16482.581000555554,12636.361332777782,120.908961447368,14.366994190245077,84.04468637183504,16.58509973934431,22.98354081447678,72.12343919357698,45.45244167531782,,0.5867891038457105,,,,,,,,,,,,,,,,,,,,,12.583333333333334,8.41,4.235,2.054421768707485,12.5,12.23611111111111,,,,,
2008-05-30,,,,,,37467.44,2.874476874862375,37.54203266286649,3982.5938991470575,6869.776283092123,29380.265000000003,20734.14444444445,16553.78393111111,12826.481068888894,125.3121582832075,10.8252427383983,87.26227149531638,17.948808052625886,23.750107096997752,73.36793463603729,46.04391587042364,,0.5933495857893714,,,,,,,,,,,,,,,,,,,,,12.63888888888889,8.44,4.24,2.730158730158733,12.5,12.268518518518519,,,,,
