date,wpi_index,wpi_inflation,wpi_mom,wpi_3m_avg,wpi_6m_avg
2012-01-01,104.7,3.72492836676217,0.5730659025787954,105.1,106.0
2012-02-01,104.7,3.72492836676217,0.5730659025787954,105.1,106.0
2012-03-01,104.7,3.72492836676217,0.5730659025787954,105.1,106.0
2012-04-01,104.7,3.72492836676217,0.5730659025787954,105.1,106.0
2012-05-01,105.3,3.72492836676217,0.5730659025787954,105.1,106.0
2012-06-01,105.3,3.72492836676217,0.0,105.1,106.0
2012-07-01,106.2,3.72492836676217,0.8547008547008517,105.6,106.0
2012-08-01,106.9,3.72492836676217,0.6591337099811634,106.13333333333333,106.0
2012-09-01,107.6,3.72492836676217,0.6548175865294548,106.9,106.0
2012-10-01,107.4,3.72492836676217,-0.1858736059479393,107.3,106.45
2012-11-01,107.3,3.72492836676217,-0.0931098696461907,107.43333333333334,106.78333333333336
2012-12-01,107.1,3.72492836676217,-0.1863932898415687,107.26666666666668,107.08333333333331
2013-01-01,108.0,3.72492836676217,0.8403361344537785,107.46666666666664,107.38333333333333
2013-02-01,108.4,3.72492836676217,0.3703703703703764,107.83333333333331,107.63333333333334
2013-03-01,108.6,3.72492836676217,0.1845018450184365,108.33333333333331,107.8
2013-04-01,108.6,3.72492836676217,0.0,108.53333333333336,108.0
2013-05-01,108.6,3.1339031339031376,0.0,108.6,108.21666666666664
2013-06-01,110.1,4.55840455840455,1.3812154696132506,109.1,108.71666666666668
2013-07-01,111.2,4.708097928436916,0.9990917347865612,109.96666666666664,109.25
2013-08-01,112.9,5.612722170252571,1.5287769784172678,111.40000000000002,110.0
2013-09-01,114.3,6.226765799256517,1.2400354295836855,112.8,110.95
2013-10-01,114.6,6.703910614525133,0.2624671916010568,113.93333333333334,111.95
2013-11-01,114.3,6.523765144454807,-0.2617801047120394,114.4,112.9
2013-12-01,113.4,5.882352941176472,-0.7874015748031371,114.09999999999998,113.45
2014-01-01,113.6,5.185185185185182,0.1763668430335041,113.76666666666668,113.85
2014-02-01,113.6,4.797047970479684,0.0,113.53333333333336,113.96666666666668
2014-03-01,114.3,5.248618784530379,0.616197183098599,113.83333333333331,113.96666666666664
2014-04-01,114.1,5.064456721915289,-0.1749781277340378,114.0,113.88333333333333
2014-05-01,114.8,5.7090239410681365,0.6134969325153339,114.4,113.96666666666664
2014-06-01,115.2,4.632152588555871,0.348432055749126,114.7,114.26666666666668
2014-07-01,116.7,4.9460431654676285,1.302083333333326,115.56666666666668,114.78333333333336
2014-08-01,117.2,3.80868024800709,0.428449014567267,116.36666666666667,115.38333333333333
2014-09-01,116.4,1.8372703412073528,-0.6825938566552892,116.76666666666668,115.73333333333332
2014-10-01,115.6,0.8726003490401313,-0.6872852233677063,116.4,115.98333333333332
2014-11-01,114.1,-0.1749781277340378,-1.2975778546712835,115.36666666666667,115.86666666666667
2014-12-01,112.1,-1.146384479717821,-1.752848378615246,113.93333333333332,115.35
2015-01-01,110.8,-2.464788732394363,-1.1596788581623496,112.33333333333331,114.36666666666667
2015-02-01,109.6,-3.521126760563376,-1.0830324909747335,110.83333333333331,113.1
2015-03-01,109.9,-3.849518810148722,0.2737226277372384,110.1,112.01666666666668
2015-04-01,110.2,-3.4180543382997253,0.2729754322110977,109.9,111.11666666666667
2015-05-01,111.4,-2.9616724738675937,1.0889292196007316,110.5,110.66666666666669
2015-06-01,111.8,-2.951388888888895,0.3590664272890453,111.13333333333333,110.61666666666666
2015-07-01,111.1,-4.798628963153395,-0.6261180679785316,111.43333333333334,110.66666666666669
2015-08-01,110.0,-6.1433447098976135,-0.99009900990098,110.96666666666664,110.73333333333332
2015-09-01,109.9,-5.584192439862545,-0.0909090909090859,110.33333333333331,110.73333333333332
2015-10-01,110.1,-4.757785467128029,0.1819836214740577,110.0,110.71666666666664
2015-11-01,109.9,-3.6809815950920144,-0.1816530426884566,109.96666666666664,110.46666666666664
2015-12-01,109.4,-2.408563782337192,-0.4549590536851666,109.8,110.06666666666668
2016-01-01,108.0,-2.527075812274371,-1.279707495429616,109.1,109.55
2016-02-01,107.1,-2.2810218978102204,-0.8333333333333415,108.16666666666669,109.06666666666666
2016-03-01,107.7,-2.0018198362147466,0.5602240896358524,107.6,108.7
2016-04-01,109.0,-1.0889292196007316,1.20705663881151,107.93333333333334,108.51666666666668
2016-05-01,110.4,-0.8976660682226245,1.2844036697247765,109.03333333333336,108.6
2016-06-01,111.7,-0.0894454382826426,1.1775362318840576,110.36666666666667,108.98333333333336
2016-07-01,111.8,0.6300630063006407,0.0895255147717044,111.3,109.61666666666667
2016-08-01,111.2,1.090909090909098,-0.5366726296958779,111.56666666666666,110.3
2016-09-01,111.4,1.364877161055511,0.1798561151079125,111.46666666666664,110.91666666666669
2016-10-01,111.5,1.2715712988192518,0.0897666068222502,111.36666666666667,111.33333333333331
2016-11-01,111.9,1.8198362147406664,0.3587443946188484,111.6,111.58333333333331
2016-12-01,111.7,2.10237659963437,-0.178731009830213,111.7,111.58333333333331
2017-01-01,112.6,4.259259259259252,0.8057296329453845,112.06666666666666,111.71666666666668
2017-02-01,113.0,5.50887021475257,0.355239786856143,112.43333333333334,112.01666666666668
2017-03-01,113.2,5.106778087279484,0.1769911504424737,112.93333333333334,112.31666666666666
2017-04-01,113.2,3.8532110091743066,0.0,113.13333333333333,112.6
2017-05-01,112.9,2.264492753623193,-0.2650176678445248,113.1,112.76666666666668
2017-06-01,112.7,0.8952551477170889,-0.1771479185119551,112.93333333333334,112.93333333333334
2017-07-01,113.9,1.878354203935606,1.0647737355811815,113.16666666666669,113.15
2017-08-01,114.8,3.237410071942448,0.7901668129938422,113.8,113.45
2017-09-01,114.9,3.14183123877918,0.0871080139372981,114.53333333333336,113.73333333333336
2017-10-01,115.6,3.677130044843047,0.6092254134029584,115.1,114.13333333333333
2017-11-01,116.4,4.021447721179627,0.6920415224913601,115.63333333333333,114.71666666666668
2017-12-01,115.7,3.5810205908684,-0.6013745704467333,115.90000000000002,115.21666666666664
2018-01-01,116.0,3.0195381882770933,0.2592912705272177,116.03333333333336,115.56666666666666
2018-02-01,116.1,2.743362831858409,0.0862068965517215,115.93333333333334,115.78333333333336
2018-03-01,116.3,2.738515901060068,0.1722652885443709,116.13333333333333,116.01666666666664
2018-04-01,117.3,3.621908127208484,0.8598452278589797,116.56666666666666,116.3
2018-05-01,118.3,4.782993799822854,0.8525149190110826,117.3,116.61666666666666
2018-06-01,119.1,5.67879325643299,0.6762468300929747,118.23333333333332,117.18333333333334
2018-07-01,119.9,5.267778753292363,0.6717044500419878,119.1,117.83333333333331
2018-08-01,120.1,4.616724738675959,0.1668056713928223,119.7,118.5
2018-09-01,120.9,5.22193211488251,0.6661115736886103,120.3,119.26666666666668
2018-10-01,122.0,5.536332179930792,0.9098428453267138,121.0,120.05
2018-11-01,121.6,4.4673539518900185,-0.3278688524590234,121.5,120.6
2018-12-01,119.7,3.457216940363006,-1.562499999999989,121.09999999999998,120.7
2019-01-01,119.2,2.758620689655178,-0.417710944026739,120.16666666666669,120.58333333333331
2019-02-01,119.5,2.9285099052541064,0.251677852348986,119.46666666666668,120.48333333333332
2019-03-01,119.9,3.095442820292349,0.3347280334728086,119.53333333333336,120.31666666666666
2019-04-01,121.1,3.239556692242118,1.000834028356956,120.16666666666669,120.16666666666669
2019-05-01,121.6,2.789518174133554,0.4128819157720897,120.86666666666667,120.16666666666669
2019-06-01,121.5,2.015113350125941,-0.0822368421052543,121.4,120.46666666666664
2019-07-01,121.3,1.1676396997497784,-0.1646090534979438,121.46666666666664,120.81666666666666
2019-08-01,121.5,1.1656952539550458,0.1648804616652954,121.43333333333332,121.15
2019-09-01,121.3,0.3308519437551727,-0.1646090534979438,121.36666666666666,121.38333333333334
2019-10-01,122.0,0.0,0.577081615828523,121.6,121.53333333333336
2019-11-01,122.3,0.5756578947368363,0.2459016393442592,121.86666666666667,121.65
2019-12-01,123.0,2.7568922305764465,0.5723630417007408,122.43333333333332,121.9
2020-01-01,123.4,3.523489932885915,0.3252032520325354,122.9,122.25
2020-02-01,122.2,2.259414225941425,-0.972447325769854,122.86666666666667,122.36666666666667
2020-03-01,120.4,0.417014178482078,-1.4729950900163602,122.0,122.21666666666664
2020-04-01,119.2,-1.5689512799339278,-0.996677740863794,120.6,121.75
2020-05-01,117.5,-3.3717105263157854,-1.4261744966442946,119.03333333333336,120.95
2020-06-01,119.3,-1.8106995884773716,1.5319148936170146,118.66666666666669,120.33333333333331
2020-07-01,121.0,-0.2473206924979321,1.4249790444258226,119.26666666666668,119.93333333333334
2020-08-01,122.0,0.4115226337448652,0.8264462809917328,120.76666666666668,119.9
2020-09-01,122.9,1.3190436933223415,0.7377049180327999,121.96666666666664,120.31666666666666
2020-10-01,123.6,1.3114754098360717,0.5695687550854256,122.83333333333331,121.05
2020-11-01,125.1,2.289452166802941,1.2135922330097193,123.86666666666666,122.31666666666666
2020-12-01,125.4,1.951219512195124,0.2398081534772167,124.7,123.33333333333331
2021-01-01,126.5,2.5121555915721183,0.8771929824561431,125.66666666666669,124.25
2021-02-01,128.1,4.828150572831413,1.2648221343873445,126.66666666666669,125.26666666666668
2021-03-01,129.9,7.890365448504988,1.4051522248243575,128.16666666666666,126.43333333333334
2021-04-01,132.0,10.738255033557053,1.6166281755196188,130.0,127.83333333333331
2021-05-01,132.9,13.10638297872342,0.6818181818181834,131.6,129.13333333333333
2021-06-01,133.7,12.070410729253966,0.6019563581640242,132.86666666666665,130.51666666666668
2021-07-01,135.0,11.570247933884303,0.972326103216159,133.86666666666667,131.93333333333334
2021-08-01,136.2,11.63934426229507,0.8888888888888724,134.96666666666667,133.28333333333333
2021-09-01,137.4,11.79820992676972,0.8810572687224738,136.20000000000002,134.53333333333333
2021-10-01,140.7,13.834951456310684,2.401746724890818,138.1,135.98333333333332
2021-11-01,143.7,14.868105515587526,2.1321961620469176,140.6,137.78333333333333
2021-12-01,143.3,14.274322169059015,-0.278357689631159,142.5666666666667,139.38333333333333
2022-01-01,143.8,13.675889328063253,0.3489183531053763,143.6,140.85
2022-02-01,145.3,13.42701014832164,1.0431154381084884,144.13333333333335,142.36666666666667
2022-03-01,148.9,14.626635873749038,2.4776324845148023,146.0,144.28333333333333
2022-04-01,152.3,15.37878787878788,2.2834116856951026,148.83333333333334,146.21666666666667
2022-05-01,155.0,16.62904439428141,1.7728168089297336,152.0666666666667,148.1
2022-06-01,155.4,16.23036649214662,0.2580645161290418,154.23333333333335,150.11666666666667
2022-07-01,154.0,14.074074074074083,-0.9009009009009028,154.79999999999998,151.81666666666666
2022-08-01,153.2,12.481644640234958,-0.5194805194805308,154.20000000000002,153.13333333333335
2022-09-01,151.9,10.55312954876273,-0.8485639686683921,153.03333333333333,153.63333333333335
2022-10-01,152.9,8.67093105899077,0.6583278472679366,152.66666666666666,153.73333333333332
2022-11-01,152.5,6.123869171885876,-0.2616088947024253,152.4333333333333,153.31666666666666
2022-12-01,150.5,5.024424284717366,-1.3114754098360604,151.96666666666667,152.5
2023-01-01,150.7,4.798331015299007,0.1328903654485014,151.23333333333335,151.95000000000002
2023-02-01,150.9,3.854094975911893,0.1327140013271499,150.70000000000002,151.56666666666666
2023-03-01,151.0,1.410342511752849,0.0662690523525411,150.86666666666667,151.41666666666666
2023-04-01,151.1,-0.7879185817465606,0.0662251655629164,151.0,151.11666666666667
2023-05-01,149.4,-3.612903225806452,-1.1250827266710672,150.5,150.6
2023-06-01,148.9,-4.182754182754178,-0.3346720214190135,149.79999999999998,150.33333333333334
2023-07-01,152.1,-1.2337662337662425,2.149093351242426,150.13333333333333,150.56666666666666
2023-08-01,152.5,-0.4569190600522077,0.2629848783694877,151.16666666666666,150.83333333333334
