date,iip_durable,iip_nondurable,iip_combined,iip_durable_yoy,iip_nondurable_yoy,iip_combined_yoy,iip_durable_mom,iip_nondurable_mom,iip_combined_mom,iip_durable_3m_avg,iip_durable_6m_avg,iip_nondurable_3m_avg,iip_nondurable_6m_avg,iip_combined_3m_avg,iip_combined_6m_avg
2013-02-01,3.3,9.7,6.5,100.0,-380.0,-1340.0,-59.7560975609756,-26.51515151515152,-39.25233644859812,5.033333333333334,5.266666666666667,13.466666666666669,7.266666666666667,9.250000000000002,6.266666666666666
2013-03-01,11.9,20.3,16.1,100.0,-380.0,-1340.0,260.6060606060606,109.27835051546391,147.6923076923077,7.8,6.05,14.4,10.95,11.1,8.5
2013-04-01,4.0,8.4,6.2,100.0,-380.0,-1340.0,-66.38655462184875,-58.62068965517242,-61.49068322981367,6.4,4.2,12.8,11.95,9.6,8.075000000000001
2013-05-01,-2.1,9.0,3.45,-141.1764705882353,-4564.101075217696,40.816326530612265,-152.5,7.14285714285714,-44.354838709677416,4.6,4.816666666666666,12.566666666666668,13.016666666666667,8.583333333333336,8.916666666666666
2013-06-01,-0.3,0.9,0.3,-106.12244897959184,-81.63265306122449,-93.87755102040816,-85.71428571428572,-90.0,-91.30434782608695,0.5333333333333333,4.166666666666667,6.1000000000000005,10.25,3.316666666666668,7.208333333333333
2013-07-01,4.7,4.1,4.4,113.63636363636364,10.81081081081079,49.15254237288136,-1666.6666666666667,355.55555555555554,1366.6666666666663,0.7666666666666666,3.583333333333334,4.666666666666667,8.733333333333333,2.716666666666668,6.158333333333332
2013-08-01,4.0,3.0,3.5,263.6363636363636,-21.052631578947366,42.85714285714284,-14.893617021276595,-26.82926829268292,-20.45454545454546,2.8000000000000003,3.7000000000000006,2.6666666666666665,7.616666666666667,2.7333333333333343,5.658333333333332
2013-09-01,8.7,8.1,8.399999999999999,20.833333333333325,-550.0,211.11111111111103,117.5,169.99999999999997,139.99999999999994,5.8,3.1666666666666665,5.066666666666666,5.583333333333333,5.433333333333334,4.374999999999999
2013-10-01,8.2,3.9,6.05,-45.6953642384106,62.5,-30.85714285714286,-5.747126436781613,-51.85185185185185,-27.976190476190467,6.966666666666666,3.8666666666666663,5.0,4.833333333333333,5.983333333333333,4.35
2013-11-01,12.4,-0.2,6.1000000000000005,-313.7931034482759,-107.6923076923077,-481.25,51.21951219512197,-105.12820512820514,0.826446280991755,9.766666666666666,6.283333333333334,3.933333333333333,3.3000000000000003,6.8500000000000005,4.791666666666667
2013-12-01,6.0,1.7,3.85,66.66666666666666,-90.28571428571428,-63.50710900473933,-51.61290322580645,-950.0,-36.88524590163935,8.866666666666667,7.333333333333333,1.8,3.433333333333333,5.333333333333335,5.383333333333333
2014-01-01,7.1,4.2,5.65,-13.414634146341465,-68.18181818181817,-47.19626168224298,18.333333333333336,147.05882352941177,46.75324675324677,8.5,7.733333333333334,1.9,3.4500000000000006,5.2,5.591666666666666
2014-02-01,7.3,1.4,4.35,121.21212121212125,-85.56701030927834,-33.07692307692308,2.8169014084507005,-66.66666666666667,-23.008849557522137,6.8,8.283333333333333,2.433333333333333,3.1833333333333336,4.616666666666667,5.733333333333332
2014-03-01,7.9,1.0,4.45,-33.61344537815126,-95.07389162561576,-72.36024844720497,8.219178082191792,-28.57142857142857,2.298850574712663,7.433333333333334,8.15,2.2,2.0,4.816666666666667,5.074999999999999
2014-04-01,2.2,2.0,2.1,-44.99999999999999,-76.19047619047619,-66.12903225806451,-72.15189873417722,100.0,-52.80898876404494,5.8,7.150000000000001,1.466666666666666,1.6833333333333331,3.633333333333334,4.416666666666666
2014-05-01,11.2,1.8,6.5,-633.3333333333333,-80.0,88.40579710144927,409.090909090909,-9.999999999999998,209.5238095238095,7.099999999999999,6.949999999999999,1.5999999999999996,2.0166666666666666,4.3500000000000005,4.483333333333333
2014-06-01,3.5,3.9,3.7,-1266.6666666666667,333.3333333333333,1133.3333333333333,-68.75,116.66666666666666,-43.07692307692308,5.633333333333333,6.533333333333332,2.5666666666666664,2.3833333333333333,4.1000000000000005,4.458333333333333
2014-07-01,7.8,6.9,7.35,65.95744680851064,68.29268292682929,67.04545454545452,122.85714285714286,76.92307692307693,98.64864864864865,7.5,6.65,4.2,2.833333333333333,5.8500000000000005,4.741666666666666
2014-08-01,6.9,1.6,4.25,72.50000000000001,-46.66666666666666,21.42857142857142,-11.538461538461531,-76.81159420289855,-42.17687074829932,6.066666666666666,6.583333333333333,4.133333333333333,2.8666666666666667,5.1000000000000005,4.725
2014-09-01,8.5,1.9,5.2,-2.298850574712641,-76.54320987654322,-38.09523809523808,23.18840579710144,18.74999999999998,22.3529411764706,7.733333333333333,6.683333333333334,3.466666666666667,3.016666666666667,5.600000000000001,4.85
2014-10-01,-12.1,-5.7,-8.9,-247.5609756097561,-246.15384615384616,-247.10743801652893,-242.3529411764706,-400.0,-271.1538461538462,1.0999999999999996,4.3,-0.7333333333333337,1.7333333333333332,0.1833333333333335,3.0166666666666657
2014-11-01,9.5,8.2,8.85,-23.38709677419355,-4199.999999999999,45.08196721311472,-178.51239669421489,-243.859649122807,-199.438202247191,1.9666666666666663,4.016666666666667,1.466666666666666,2.7999999999999994,1.716666666666667,3.4083333333333328
2014-12-01,6.5,4.5,5.5,8.333333333333325,164.70588235294116,42.85714285714286,-31.57894736842105,-45.12195121951219,-37.85310734463276,1.2999999999999998,4.516666666666667,2.3333333333333326,2.9,1.816666666666667,3.7083333333333326
2015-01-01,-0.3,3.5,1.6,-104.22535211267603,-16.666666666666675,-71.68141592920354,-104.61538461538464,-22.22222222222222,-70.9090909090909,5.233333333333333,3.1666666666666665,5.4,2.333333333333333,5.316666666666667,2.75
2015-02-01,2.3,9.6,5.949999999999999,-68.49315068493152,585.7142857142858,36.7816091954023,-866.6666666666666,174.28571428571428,271.87499999999994,2.8333333333333326,2.4000000000000004,5.866666666666667,3.6666666666666665,4.3500000000000005,3.0333333333333328
2015-03-01,4.6,7.6,6.1,-41.77215189873419,660.0,37.07865168539324,100.0,-20.833333333333336,2.521008403361358,2.1999999999999997,1.7500000000000002,6.9,4.616666666666666,4.55,3.183333333333332
2015-04-01,1.8,5.7,3.75,-18.181818181818187,185.0,78.57142857142856,-60.86956521739131,-24.99999999999999,-38.52459016393443,2.899999999999999,4.066666666666667,7.633333333333333,6.516666666666667,5.266666666666667,5.291666666666665
2015-05-01,-1.1,4.2,1.55,-109.82142857142858,133.33333333333334,-76.15384615384615,-161.11111111111111,-26.315789473684216,-58.66666666666666,1.766666666666666,2.3000000000000003,5.833333333333333,5.8500000000000005,3.8000000000000007,4.074999999999999
2015-06-01,7.7,-0.1,3.8,120.0,-102.56410256410255,2.7027027027026973,-800.0,-102.38095238095238,145.16129032258064,2.7999999999999994,2.5000000000000004,3.266666666666667,5.083333333333333,3.0333333333333337,3.791666666666666
2015-07-01,3.8,-6.6,-1.4,-51.28205128205128,-195.65217391304347,-119.04761904761904,-50.64935064935065,3329.331763459107,-136.84210526315786,3.4666666666666663,3.1833333333333336,-0.833333333333333,3.4,1.3166666666666675,3.2916666666666656
2015-08-01,1.8,1.5,1.65,-73.91304347826086,-6.25,-61.1764705882353,-52.63157894736842,-122.72727272727272,-217.8571428571429,4.433333333333333,3.1,-1.7333333333333332,2.0500000000000003,1.3500000000000008,2.5749999999999997
2015-09-01,-2.8,1.6,-0.5999999999999999,-132.94117647058823,-15.78947368421052,-111.53846153846156,-255.55555555555557,6.666666666666665,-136.36363636363637,0.9333333333333328,1.8666666666666671,-1.1666666666666663,1.05,-0.1166666666666658,1.4583333333333328
2015-10-01,17.7,15.3,16.5,-246.2809917355372,-368.42105263157896,-285.39325842696627,-732.1428571428571,856.25,-1767.3040125990651,5.5666666666666655,4.516666666666667,6.133333333333334,2.6500000000000004,5.8500000000000005,3.5833333333333326
2015-11-01,-4.5,5.3,0.3999999999999999,-147.36842105263156,-35.36585365853659,-95.48022598870055,-125.42372881355932,-65.359477124183,-97.57575757575758,3.4666666666666663,3.9500000000000006,7.399999999999999,2.833333333333334,5.433333333333334,3.3916666666666657
2015-12-01,5.2,5.4,5.300000000000001,-20.0,20.000000000000018,-3.6363636363636265,-215.5555555555556,1.8867924528301885,1225.0000000000005,6.133333333333333,3.533333333333333,8.666666666666666,3.75,7.400000000000001,3.6416666666666657
2016-01-01,3.1,3.5,3.3,-1133.3333333333337,0.0,106.24999999999996,-40.38461538461539,-35.18518518518518,-37.73584905660379,1.2666666666666668,3.4166666666666674,4.733333333333333,5.433333333333334,3.0000000000000013,4.425
2016-02-01,6.7,1.4,4.05,191.304347826087,-85.41666666666666,-31.93277310924369,116.1290322580645,-60.00000000000001,22.72727272727273,5.0,4.233333333333333,3.433333333333333,5.416666666666667,4.216666666666668,4.824999999999999
2016-03-01,2.2,-3.7,-0.75,-52.17391304347825,-148.6842105263158,-112.29508196721312,-67.16417910447761,-364.28571428571433,-118.5185185185185,4.000000000000001,5.066666666666667,0.3999999999999999,4.533333333333333,2.2000000000000006,4.8
2016-04-01,9.3,0.2,4.75,416.6666666666667,-96.49122807017544,26.66666666666666,322.72727272727275,-105.4054054054054,-733.3333333333333,6.066666666666667,3.6666666666666674,-0.7000000000000001,2.0166666666666666,2.6833333333333336,2.8416666666666663
2016-05-01,9.9,11.3,10.6,-1000.0,169.0476190476191,583.8709677419356,6.451612903225801,3329.331763459107,123.15789473684214,7.133333333333334,6.066666666666667,2.6,3.016666666666667,4.866666666666667,4.541666666666667
2016-06-01,4.5,11.4,7.95,-41.55844155844156,-4564.101075217696,109.21052631578948,-54.54545454545454,0.8849557522123908,-25.00000000000001,7.900000000000001,5.95,7.633333333333333,4.016666666666667,7.766666666666667,4.9833333333333325
2016-07-01,0.2,14.5,7.35,-94.73684210526316,-319.69696969696975,-625.0,-95.55555555555556,27.192982456140346,-7.547169811320764,4.866666666666667,5.466666666666668,12.4,5.8500000000000005,8.633333333333335,5.658333333333332
2016-08-01,7.3,11.3,9.3,305.55555555555554,653.3333333333334,463.6363636363637,2271.9785106313107,-22.06896551724138,26.530612244897966,4.000000000000001,5.566666666666667,12.4,7.5,8.200000000000001,6.533333333333334
2016-09-01,10.3,12.7,11.5,-467.8571428571429,693.7499999999999,-2016.6666666666672,41.09589041095892,12.389380530973447,23.655913978494624,5.933333333333335,6.916666666666668,12.833333333333334,10.233333333333333,9.383333333333336,8.575000000000001
2016-10-01,1.5,5.6,3.55,-91.52542372881356,-63.39869281045751,-78.48484848484848,-85.4368932038835,-55.90551181102362,-69.1304347826087,6.366666666666667,5.616666666666667,9.866666666666667,11.133333333333333,8.116666666666667,8.375
2016-11-01,6.8,3.3,5.05,-251.11111111111111,-37.735849056603776,1162.5000000000002,353.3333333333333,-41.07142857142857,42.253521126760575,6.2,5.1000000000000005,7.199999999999999,9.8,6.7,7.449999999999999
2016-12-01,-5.0,-0.2,-2.6,-196.15384615384613,-103.7037037037037,-149.0566037735849,-173.52941176470588,-106.06060606060606,-151.4851485148515,1.1000000000000003,3.516666666666667,2.9,7.866666666666667,2.0,5.6916666666666655
2017-01-01,-2.0,9.6,3.8,-164.51612903225805,174.28571428571428,15.15151515151516,-60.0,-3330.005783200741,-246.15384615384616,-0.0666666666666661,3.1500000000000004,4.233333333333333,7.05,2.083333333333333,5.1
2017-02-01,-4.6,10.4,2.9000000000000004,-168.65671641791045,642.857142857143,-28.395061728395056,129.99999999999997,8.333333333333348,-23.684210526315773,-3.866666666666666,1.1666666666666674,6.599999999999999,6.9,1.3666666666666665,4.033333333333332
2017-03-01,-0.6,7.5,3.45,-127.27272727272728,-302.70270270270265,-560.0,-86.95652173913044,-27.884615384615387,18.96551724137929,-2.399999999999999,-0.6499999999999994,9.166666666666666,6.033333333333334,3.3833333333333333,2.691666666666666
2017-04-01,-0.7,8.8,4.050000000000001,-107.5268817204301,4178.210154331836,-14.736842105263149,16.666666666666675,17.333333333333336,17.391304347826097,-1.966666666666666,-1.0166666666666662,8.9,6.566666666666666,3.4666666666666672,2.775
2017-05-01,0.6,9.7,5.15,-93.93939393939394,-14.15929203539824,-51.415094339622655,-185.7142857142857,10.227272727272709,27.160493827160455,-0.2333333333333327,-2.0499999999999994,8.666666666666666,7.633333333333333,4.216666666666668,2.791666666666666
2017-06-01,-3.5,4.8,0.6499999999999999,-177.77777777777777,-57.89473684210527,-91.8238993710692,-683.3333333333334,-50.51546391752577,-87.37864077669903,-1.1999999999999995,-1.7999999999999992,7.766666666666667,8.466666666666667,3.283333333333333,3.333333333333333
2017-07-01,-2.4,4.1,0.8499999999999999,-1299.9999999999998,-71.72413793103449,-88.43537414965986,-31.428571428571427,-14.583333333333336,30.76923076923077,-1.7666666666666664,-1.866666666666666,6.199999999999999,7.550000000000001,2.2166666666666663,2.8416666666666663
2017-08-01,4.3,7.2,5.75,-41.0958904109589,-36.283185840707965,-38.17204301075269,-279.1666666666667,75.609756097561,576.4705882352941,-0.5333333333333327,-0.3833333333333326,5.366666666666667,7.016666666666667,2.4166666666666665,3.3166666666666664
2017-09-01,-4.1,10.5,3.2,-139.80582524271844,-17.322834645669282,-72.17391304347827,-195.3488372093023,45.83333333333333,-44.34782608695652,-0.7333333333333325,-0.966666666666666,7.266666666666666,7.516666666666666,3.266666666666667,3.275
2017-10-01,-9.0,8.2,-0.4000000000000003,-700.0,46.428571428571416,-111.26760563380284,119.51219512195124,-21.90476190476192,-112.5,-2.933333333333332,-2.349999999999999,8.633333333333333,7.416666666666667,2.85,2.5333333333333328
