date,lending_rate,interest_rate,rate_spread,lending_rate_mom,lending_rate_3m_avg,lending_rate_6m_avg
1991-04-01,17.0,,,,,
1991-07-04,18.5,,,8.823529411764696,,
1991-10-09,20.0,,,8.108108108108114,18.5,
1992-03-02,19.0,,,-5.000000000000004,19.166666666666668,
1992-10-09,18.0,,,-5.263157894736848,19.0,
1993-03-01,17.0,,,-5.555555555555558,18.0,18.25
1993-06-24,16.0,,,-5.882352941176472,17.0,18.083333333333332
1993-09-02,15.0,,,-6.25,16.0,17.5
1994-10-18,14.0,,,-6.666666666666665,15.0,16.5
1995-02-15,15.0,,,7.14285714285714,14.666666666666666,15.833333333333334
1995-04-24,15.5,,,3.3333333333333437,14.833333333333334,15.416666666666666
1995-11-10,16.5,,,6.451612903225801,15.666666666666666,15.333333333333334
1996-07-15,16.0,,,-3.0303030303030276,16.0,15.333333333333334
1996-09-06,15.5,,,-3.125,16.0,15.416666666666666
1996-11-01,14.5,,,-6.451612903225811,15.333333333333334,15.5
1997-04-16,14.0,,,-3.4482758620689613,14.666666666666666,15.333333333333334
1997-07-01,13.5,,,-3.57142857142857,14.0,15.0
1997-11-01,13.0,,,-3.703703703703709,13.5,14.416666666666666
1998-01-22,14.0,,,7.692307692307687,13.5,14.083333333333334
1998-04-02,13.5,,,-3.57142857142857,13.5,13.75
1998-05-01,13.0,,,-3.703703703703709,13.5,13.5
1999-03-01,12.0,,,-7.692307692307687,12.833333333333334,13.166666666666666
2000-04-01,11.25,,,-6.25,12.083333333333334,12.791666666666666
2000-08-12,12.0,,,6.666666666666665,11.75,12.625
2001-03-05,11.5,,,-4.1666666666666625,11.583333333333334,12.208333333333334
2002-04-01,11.0,8.0,3.0,-4.347826086956519,11.5,11.791666666666666
2002-11-01,10.75,,,-2.2727272727272707,11.083333333333334,11.416666666666666
2003-05-05,10.5,,,-2.3255813953488413,10.75,11.166666666666666
2004-01-01,10.25,6.0,4.25,-2.3809523809523836,10.5,11.0
2006-05-01,10.75,6.75,4.0,4.878048780487809,10.5,10.791666666666666
2006-08-02,11.0,7.0,4.0,2.3255813953488413,10.666666666666666,10.708333333333334
2006-12-27,11.5,,,4.545454545454541,11.083333333333334,10.791666666666666
2007-02-20,12.25,,,6.521739130434789,11.583333333333334,11.041666666666666
2007-04-09,12.75,,,4.081632653061229,12.166666666666666,11.416666666666666
2008-02-16,12.5,,,-1.9607843137254943,12.5,11.791666666666666
2008-02-27,12.25,,,-2.0000000000000018,12.5,12.041666666666666
2008-06-27,12.75,8.5,4.25,4.081632653061229,12.5,12.333333333333334
2008-08-12,13.75,9.0,4.75,7.843137254901955,12.916666666666666,12.708333333333334
2008-11-10,13.0,,,-5.454545454545457,13.166666666666666,12.833333333333334
2009-01-01,12.25,5.5,6.75,-5.769230769230771,13.0,12.75
2009-06-29,11.75,4.75,7.0,-4.081632653061229,12.333333333333334,12.625
2010-08-17,12.25,5.75,6.5,4.255319148936176,12.083333333333334,12.625
2010-10-21,12.5,6.25,6.25,2.0408163265306145,12.166666666666666,12.583333333333334
2011-01-03,12.75,,,2.0000000000000018,12.5,12.416666666666666
2011-02-14,13.0,6.5,6.5,1.9607843137254832,12.75,12.416666666666666
2011-04-25,13.25,7.25,6.0,1.9230769230769162,13.0,12.583333333333334
2011-05-12,14.0,7.25,6.75,5.660377358490565,13.416666666666666,12.958333333333334
2011-07-11,14.25,8.0,6.25,1.7857142857142794,13.833333333333334,13.291666666666666
2011-08-13,14.75,8.0,6.75,3.5087719298245723,14.333333333333334,13.666666666666666
2012-09-27,14.5,,,-1.6949152542372836,14.5,13.958333333333334
2013-02-04,14.45,,,-0.34482758620689724,14.566666666666668,14.200000000000001
2013-09-19,14.55,7.5,7.050000000000001,0.6920415224913601,14.5,14.416666666666666
2013-11-07,14.75,7.75,7.0,1.3745704467353903,14.583333333333334,14.541666666666666
2015-04-10,14.6,7.5,7.1,-1.016949152542379,14.633333333333333,14.6
2015-06-08,14.45,7.25,7.199999999999999,-1.0273972602739767,14.6,14.549999999999999
2015-10-05,14.05,6.75,7.300000000000001,-2.768166089965385,14.366666666666667,14.475
2017-01-01,14.0,,,-0.3558718861210064,14.166666666666666,14.399999999999999
2017-04-01,13.85,,,-1.0714285714285787,13.966666666666669,14.283333333333333
2017-07-01,13.75,,,-0.7220216606498187,13.866666666666665,14.116666666666667
2017-10-01,13.7,,,-0.363636363636366,13.766666666666666,13.966666666666669
2018-01-01,13.4,,,-2.1897810218978075,13.616666666666667,13.791666666666666
2018-04-01,13.45,6.25,7.199999999999999,0.3731343283581934,13.516666666666666,13.691666666666668
2018-07-01,13.7,6.25,7.449999999999999,1.8587360594795488,13.516666666666666,13.641666666666667
2018-10-01,13.75,6.5,7.25,0.36496350364965124,13.633333333333333,13.625
2018-12-10,13.8,,,0.363636363636366,13.75,13.633333333333333
2019-09-10,13.7,5.15,8.549999999999999,-0.7246376811594346,13.75,13.633333333333333
2019-12-16,13.2,,,-3.649635036496346,13.566666666666668,13.6
2020-03-10,12.9,4.4,8.5,-2.2727272727272596,13.266666666666666,13.508333333333333
2020-06-10,12.15,4.0,8.15,-5.813953488372093,12.75,13.25
2020-09-10,12.15,4.0,8.15,0.0,12.4,12.983333333333333
2020-12-10,12.05,,,-0.8230452674897082,12.116666666666667,12.691666666666668
2021-03-10,12.15,,,0.8298755186721962,12.116666666666667,12.433333333333335
2021-06-15,12.25,,,0.8230452674897082,12.15,12.275
2021-09-15,12.2,,,-0.40816326530612734,12.200000000000001,12.158333333333333
