date,oil_price,oil_price_mom,oil_price_yoy,oil_volatility_1m,oil_volatility_3m,oil_price_30d_avg,oil_price_90d_avg,oil_price_180d_avg,oil_momentum
2011-05-01,110.80254368421,-6.602770470999319,45.483805801944065,19.543798712158704,23.65184549764558,75.31689298216477,67.1121739299131,,0.12225381136990232
2011-06-01,109.994067727272,-0.7296546902769485,47.978548043990735,19.39997732768092,23.725559911265407,77.62964746474053,68.01247900783517,,0.14140299834972114
2011-07-01,112.527114285714,2.302893793074956,53.008490684365725,19.337083063917852,23.83444500076442,79.91434935321168,68.9294521197817,,0.15936434855656545
2011-08-01,106.93536,-4.96925058569987,42.33947270267948,18.65463618869927,23.795518346658053,82.03829375321168,69.788208707501,,0.17553230370267414
2011-09-01,108.790646818181,1.7349610252221481,42.97063700758432,17.983742495688393,23.8058879413449,84.13058991230258,70.63910119630204,,0.19099179473572958
2011-10-01,106.108369499999,-2.4655403719263003,30.820629333739767,17.222646202035936,23.742736743851882,85.99634883313587,71.45846969339199,,0.20344515075850067
2011-11-01,109.615744285714,3.305464783072587,30.098908723323923,16.90484582562231,23.776826767136814,87.71676162877078,72.2755462826777,,0.21364370302648106
2011-12-01,107.193887999999,-2.2094055023723747,19.405510607992248,16.889551002615196,23.707541850170056,88.98604869089196,73.08703895357715,,0.2175352834777371
2012-01-01,110.468284736842,3.054648728519882,17.68414956305884,16.692676030790814,23.704452134464177,90.50750452269973,73.91053787489561,,0.22455480808294093
2012-02-01,117.666197142857,6.515818022486641,15.78925397912947,17.024765971507865,23.877614749929478,92.03040469061953,74.76774895426068,,0.2308837162787838
2012-03-01,123.610558181818,5.051885064105566,11.64806069815878,17.327137665883917,24.120530430963317,93.8940349633468,75.70620540880613,,0.24024225565563828
2012-04-01,117.974512631578,-4.559517919132761,-0.5574035716503278,17.405331548539227,24.278278670829977,95.39104242985395,76.53508369730514,,0.24637013277628061
2012-05-01,108.053806666666,-8.409194277320998,-2.480752630894434,17.21108318560647,24.16783683874475,96.41314044374282,77.30347188249033,,0.2472032380421576
2012-06-01,94.5076026315789,-12.536535688072181,-14.079363929054301,16.73686755772277,23.84483765049432,97.06285311082719,77.94448729532797,,0.2452818214463408
2012-07-01,100.33814,6.16938447920472,-10.83203311760521,16.29168423239354,23.63055728383601,97.8538302358272,78.60422215643909,,0.24489280030120142
2012-08-01,110.068283,9.697352372686986,2.9297353092559764,15.7770641961904,23.54679260160439,99.06629707656793,79.35308531631564,,0.24842401126146374
2012-09-01,111.7708795,1.5468547828623835,2.7394199492165816,15.423862574050249,23.571239602532103,100.19138305990127,80.04753930570958,,0.2516485069860841
2012-10-01,109.788584090909,-1.773534768589713,3.46835467197526,15.21062219378155,23.548936231711988,101.04827822959824,80.71821688026465,,0.25186459928234894
2012-11-01,107.870747142857,-1.7468455066912636,-1.5919219946257557,14.507076184952803,23.443455074348968,102.10525554176755,81.39461158536072,,0.2544473590206524
2012-12-01,107.280966842105,-0.5467472103172999,0.08123489476004053,13.54735809181826,23.399040644641726,103.20358476983772,82.00083626744473,,0.2585674667175404
2013-01-01,109.551236818181,2.1161908238740645,-0.8301458838123499,12.37311083475298,23.398406978422887,104.4038575880195,82.60687130616525,,0.26386408221500424
2013-02-01,112.675573888888,2.8519413942285077,-4.241339802891697,11.147926969002201,23.485752488339923,105.65547708431579,83.19161838977915,,0.2700255041233399
2013-03-01,106.44967,-5.525513360178225,-13.883027820791948,9.648986200198456,23.47778042005473,106.66736608431577,83.71062346048622,,0.27423929813001324
2013-04-01,101.574804047619,-4.579503113895045,-13.901060676701892,8.425679780927604,23.368371763955565,107.3495324097126,84.21390948429575,,0.27472448514851555
2013-05-01,101.097049736842,-0.47034726304077124,-6.438234009917698,7.32281347357326,23.198055454173932,107.910910784274,84.74672328692733,,0.2733343142828022
2013-06-01,101.1111285,0.013925988141738621,6.9872959259836165,6.612558041365965,23.043044907572604,108.28884898824226,85.25856217502256,,0.2701228618650888
2013-07-01,104.859751086956,3.7074282945580794,4.506373236494121,6.068106508337109,22.982385098896945,108.65522575780747,85.75097144635912,,0.2671019805971053
2013-08-01,108.454698947368,3.428339113098655,-1.4659845767122537,5.921436231234495,22.926122522777117,108.88301574123825,86.30098665688541,,0.26166594333543647
2013-09-01,109.465711428571,0.9321979508639222,-2.062404878391433,5.912500303813545,22.881553346640693,108.84139047001672,86.85047707372462,,0.25320429014597945
2013-10-01,107.373520681818,-1.9112749731848289,-2.199740008570694,5.619450523794929,22.884321131814392,108.46598140015142,87.29846028890272,,0.242473017750801
2013-11-01,106.554804523809,-0.7624935391986609,-1.2199253772714247,5.612056394587493,22.872194937372306,108.32439009480473,87.73547377527838,,0.23467037258226764
2013-12-01,108.71841975,2.030518694919614,1.3398955566933157,5.603795898488651,22.868910980264577,108.28186849556232,88.2001502725006,,0.2276834921597961
2014-01-01,105.294998571428,-3.1488879128709013,-3.8851576398146515,5.570331370960926,22.867261813104964,108.04079797175281,88.57803030953762,,0.21972454788396378
2014-02-01,106.188254749999,0.8483367592859281,-5.757520387946979,5.577109848560129,22.862168649357436,108.01589446341944,88.9715006754467,,0.2140504953090938
2014-03-01,105.295287857142,-0.8409281186128714,-1.0844393814071873,5.5968423412054085,22.72870700046504,107.89938249805145,89.46440993735146,,0.20605928741506596
2014-04-01,105.5553393,0.24697348585134282,3.9188214928919773,5.603851193553938,22.529245509072297,107.8809481580515,90.00090609888585,,0.19866513387676865
2014-05-01,106.853226444444,1.2295798138218794,5.693713834959047,5.597054670669198,22.333882214082706,107.78886423000917,90.54601264271301,,0.19043192608972204
2014-06-01,109.053918190476,2.059546369595311,7.855504936309754,5.600537688695007,22.183469823850395,107.85086523635839,91.0872264948294,,0.18403940252237883
2014-07-01,106.296156181818,-2.5288059836981014,1.3698345456407468,5.585080690263089,21.854974433239143,107.71179428452427,91.68463443653216,,0.17480747942651997
2014-08-01,101.8919881,-4.143299475744666,-6.051107892109697,5.353331163749113,21.556172914372517,107.18598731642902,92.18864491850748,,0.16268101577128968
2014-09-01,96.9590940454545,-4.8412972860085945,-11.425146029656386,4.705948601983886,21.290920945613834,106.29760517855024,92.59638920840645,,0.14796706531727177
2014-10-01,86.8276383809524,-10.4492061979792,-19.134961925808135,5.422254468151937,21.10354837336423,105.25937603686272,92.83356350986148,,0.13385043143023667
